id;name;max_blocks_per_time;block_size;interval_between_blocks;interval_between_tasks;max_attempts;created_at;updated_at
1;integrated Congelado Cambridgeshire;84280;56249;36465;63253;86119;2022-09-19;2022-09-19
2;content Pará Congelado;21987;82942;56785;5694;13751;2022-09-19;2022-09-19
3;markets;16425;82436;83919;34331;61840;2022-09-19;2022-09-18
4;Plástico Avon;84836;40787;29932;44785;7547;2022-09-18;2022-09-19
5;Samoa;26253;95546;66421;85470;39604;2022-09-19;2022-09-19
6;navigating Facilitator;20297;1262;78811;76629;16433;2022-09-19;2022-09-18
7;bi-directional;48832;24629;86704;90638;72372;2022-09-18;2022-09-19
8;Distrito Roraima;54901;96947;4855;47678;80370;2022-09-18;2022-09-19
9;Macio global withdrawal;92616;99627;40633;62443;57531;2022-09-19;2022-09-19
10;preto Rodovia;41086;53310;38522;24041;40526;2022-09-19;2022-09-19
