id;name;cnpj;address;created_at;updated_at
1;Travessa;benchmark;Loan payment;2022-09-19;2022-09-19
2;Saúde drive withdrawal;Representative;bronze reboot invoice;2022-09-19;2022-09-18
3;content backing;mobile Pequeno;explicit;2022-09-19;2022-09-19
4;Configuration;Gana Australian;Technician Marginal;2022-09-18;2022-09-19
5;Toalhas Atum architecture;Guiné;CSS;2022-09-19;2022-09-19
6;Chile;relationships monetize next-generation;virtual Concreto;2022-09-19;2022-09-18
7;Caribbean;Investment Avenida application;Mouse magnetic SCSI;2022-09-18;2022-09-19
8;Bedfordshire açafrão;Sapatos escarlate;Lindo Incrível;2022-09-18;2022-09-19
9;Solomon Grass-roots monitor;Seamless withdrawal;Card Central solution;2022-09-19;2022-09-18
10;Calças;dynamic indexing RAM;Ruble Lindo mobile;2022-09-19;2022-09-19
