id;name;created_at;updated_at
1;Cambridgeshire;2022-09-19T04:06:46;2022-09-19T16:03:21
2;Paradigm;2022-09-19T15:12:34;2022-09-19T04:14:33
3;calculating;2022-09-19T07:23:13;2022-09-19T07:16:24
4;Manager;2022-09-19T16:53:35;2022-09-19T11:23:52
5;ouro hub;2022-09-19T11:51:58;2022-09-19T15:24:54
6;Configuration;2022-09-18T21:52:47;2022-09-18T21:39:28
7;grená Bacon Operations;2022-09-19T08:04:01;2022-09-19T01:02:54
8;Aço;2022-09-19T05:28:08;2022-09-19T15:47:37
9;web-enabled microchip ametista;2022-09-18T19:18:41;2022-09-19T13:01:03
10;Analyst;2022-09-19T16:02:14;2022-09-19T04:50:53
