id;name;address;stars_count;rating;created_at;updated_at
1;Avenida;Inteligente;40707;95836;2022-09-19T12:45:24;2022-09-19T14:11:29
2;Lustroso;Web;66024;56611;2022-09-19T00:40:11;2022-09-19T15:51:06
3;Direct;Concreto Aço;27313;3693;2022-09-18T23:10:49;2022-09-19T14:27:43
4;override back-end;Equador;56223;268;2022-09-19T10:09:12;2022-09-19T06:10:16
5;Espírito Analyst vermelho;programming;8302;52105;2022-09-19T16:15:38;2022-09-19T05:05:00
6;Salsicha withdrawal;Genérico Salgadinhos;70234;32585;2022-09-19T00:58:21;2022-09-19T15:39:18
7;generation Incrível;facilitate;87297;39033;2022-09-18T22:48:35;2022-09-19T08:54:22
8;Goiás platforms cobre;Alagoas;21168;1831;2022-09-19T06:54:14;2022-09-19T03:55:50
9;verde Paradigm Aço;Marianas Developer synthesize;54039;39253;2022-09-19T00:26:00;2022-09-19T05:40:19
10;Cadeira Metal online;Aço algorithm Planner;60280;72368;2022-09-19T09:09:21;2022-09-18T23:00:22
