id;content;processed;created_at;updated_at
1;Regional parse;true;2022-09-18;2022-09-18
2;Borders fault-tolerant;true;2022-09-18;2022-09-19
3;Borracha Cadeira;true;2022-09-18;2022-09-19
4;Aço global Armênia;true;2022-09-18;2022-09-19
5;quantifying Cambridgeshire Paraíba;false;2022-09-18;2022-09-19
6;payment bluetooth;false;2022-09-19;2022-09-18
7;Jogos;true;2022-09-19;2022-09-19
8;Amazonas Madeira;false;2022-09-19;2022-09-19
9;Lustroso bluetooth;true;2022-09-18;2022-09-19
10;invoice Designer payment;true;2022-09-19;2022-09-19
