id;number_of_people;price;period_type;check_in_date;check_out_date;created_at;updated_at
1;27942;6223;94637;2022-09-19;2022-09-19;2022-09-19T01:05:37;2022-09-18T21:49:21
2;98208;53348;60491;2022-09-18;2022-09-19;2022-09-19T12:02:01;2022-09-18T18:40:08
3;23020;29269;80679;2022-09-19;2022-09-19;2022-09-18T20:30:14;2022-09-18T18:38:29
4;65118;21121;67939;2022-09-18;2022-09-19;2022-09-19T08:11:17;2022-09-19T06:46:25
5;63353;83958;75973;2022-09-19;2022-09-19;2022-09-19T05:00:33;2022-09-19T01:22:00
6;93539;11817;4331;2022-09-19;2022-09-19;2022-09-19T03:11:11;2022-09-19T16:05:01
7;18009;77443;29687;2022-09-18;2022-09-18;2022-09-19T10:36:22;2022-09-18T19:34:37
8;30492;52941;87116;2022-09-19;2022-09-19;2022-09-18T20:32:08;2022-09-18T19:48:29
9;14319;73293;35854;2022-09-19;2022-09-18;2022-09-18T18:41:16;2022-09-19T11:40:06
10;82166;45951;89480;2022-09-19;2022-09-19;2022-09-19T10:49:18;2022-09-18T18:10:21
