id;rule;first_interval;second_interval;third_interval;created_at;updated_at
1;secured intranet;2362;25364;73075;2022-09-19;2022-09-19
2;compressing;66454;78712;97920;2022-09-19;2022-09-18
3;grená Belize;78169;61855;91497;2022-09-19;2022-09-19
4;back-end Antilhas Reactive;55500;46730;58818;2022-09-19;2022-09-19
5;Sabonete override Equador;9144;78070;53996;2022-09-18;2022-09-19
6;Bermuda;41352;69628;23616;2022-09-19;2022-09-19
7;Open-architected backing;70369;99590;47853;2022-09-19;2022-09-18
8;platforms Mercearia face;11686;64275;66607;2022-09-18;2022-09-19
9;Legacy Rústico;74775;70447;66266;2022-09-19;2022-09-19
10;Account Card;49580;10530;52140;2022-09-18;2022-09-18
