id;source;attempt_count;target_date_interval;created_at;updated_at
1;withdrawal Avon rich;97009;64737;2022-09-19;2022-09-19
2;Sergipe;60032;17396;2022-09-19;2022-09-19
3;Bebê withdrawal Borracha;28189;79438;2022-09-19;2022-09-18
4;Central circuit;76635;79916;2022-09-18;2022-09-18
5;Quality proactive;90672;1959;2022-09-19;2022-09-18
6;hacking;76559;3157;2022-09-19;2022-09-18
7;web-enabled Bacon Saúde;83396;71770;2022-09-19;2022-09-19
8;bypass;48628;9752;2022-09-19;2022-09-19
9;Checking Inteligente programming;98202;88259;2022-09-19;2022-09-19
10;Plástico Engineer navigate;47173;91635;2022-09-19;2022-09-19
